TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
fordham,1200,,,Troy,troy,1407,,,,,,,,Texas Tech,texas tech,1403
fort wayne,1236,,,St. Francis NY,st. francis ny,1383,,,,,,,,The Citadel,the citadel,1154
fort wayne(ipfw),1236,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,Toledo,toledo,1405
fort-wayne,1236,,,Nebraska Omaha,nebraska omaha,1303,,,,,,,,Towson,towson,1406
fresno st,1201,,,St. Francis PA,st. francis pa,1384,,,,,,,,Troy,troy,1407
fresno st.,1201,,,NJIT,njit,1312,,,,,,,,Tulane,tulane,1408
fresno state,1201,,,Eastern Illinois,eastern illinois,1183,,,,,,,,Tulsa,tulsa,1409
fresno-st,1201,,,North Carolina A&T,north carolina a&t,1299,,,,,,,,UAB,uab,1412
fresno-state,1201,,,Southern,southern,1380,,,,,,,,UC Davis,uc davis,1413
furman,1202,,,Lamar,lamar,1249,,,,,,,,UC Irvine,uc irvine,1414
g washington,1203,,,Robert Morris,robert morris,1352,,,,,,,,UC Riverside,uc riverside,1415
ga southern,1204,,,Grambling St.,grambling st.,1212,,,,,,,,UC San Diego,uc san diego,1471
ga-southern,1204,,,Jacksonville,jacksonville,1239,,,,,,,,UCSB,ucsb,1364
ga. southern,1204,,,Hampton,hampton,1214,,,,,,,,UCF,ucf,1416
gardner webb,1205,,,Northwestern St.,northwestern st.,1322,,,,,,,,UCLA,ucla,1417
gardner-webb,1205,,,Portland,portland,1339,,,,,,,,UConn,uconn,1163
george mason,1206,,,Air Force,air force,1102,,,,,,,,UIC,uic,1227
george washington,1203,,,Tennessee Tech,tennessee tech,1399,,,,,,,,Incarnate Word,incarnate word,1230
george-mason,1206,,,SIU Edwardsville,siu edwardsville,1188,,,,,,,,Louisiana Monroe,louisiana monroe,1419
george-washington,1203,,,Binghamton,binghamton,1127,,,,,,,,UMass Lowell,umass lowell,1262
georgetown,1207,,,Dixie St.,dixie st.,1469,,,,,,,,UMBC,umbc,1420
georgia,1208,,,Central Arkansas,central arkansas,1146,,,,,,,,UMES,umes,1271
georgia southern,1204,,,Lehigh,lehigh,1250,,,,,,,,UNC Asheville,unc asheville,1421
georgia st,1209,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,UNCG,uncg,1422
georgia st.,1209,,,USC Upstate,usc upstate,1367,,,,,,,,UNC Wilmington,unc wilmington,1423
georgia state,1209,,,Tennessee St.,tennessee st.,1398,,,,,,,,Northern Iowa,northern iowa,1320
georgia tech,1210,,,Cal Poly,cal poly,1142,,,,,,,,UNLV,unlv,1424
georgia-southern,1204,,,Northern Arizona,northern arizona,1319,,,,,,,,USC Upstate,usc upstate,1367
georgia-st,1209,,,Incarnate Word,incarnate word,1230,,,,,,,,UT Arlington,ut arlington,1426
georgia-state,1209,,,San Jose St.,san jose st.,1363,,,,,,,,UT Martin,ut martin,1404
georgia-tech,1210,,,Presbyterian,presbyterian,1342,,,,,,,,Utah,utah,1428
gonzaga,1211,,,Charleston Southern,charleston southern,1149,,,,,,,,Utah State,utah state,1429
grambling,1212,,,Northern Illinois,northern illinois,1296,,,,,,,,Utah Valley,utah valley,1430
grambling st.,1212,,,Howard,howard,1224,,,,,,,,UTEP,utep,1431
grambling state,1212,,,Central Connecticut,central connecticut,1148,,,,,,,,UT Rio Grande Valley,ut rio grande valley,1410
grambling-state,1212,,,North Carolina Central,north carolina central,1300,,,,,,,,UTSA,utsa,1427
grand canyon,1213,,,Fordham,fordham,1200,,,,,,,,Valparaiso,valparaiso,1434
grand-canyon,1213,,,Alcorn St.,alcorn st.,1108,,,,,,,,Vanderbilt,vanderbilt,1435
green bay,1453,,,Denver,denver,1176,,,,,,,,VCU,vcu,1433
green-bay,1453,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,,,,,,Vermont,vermont,1436
hampton,1214,,,McNeese St.,mcneese st.,1270,,,,,,,,Villanova,villanova,1437
hardin-simmons,1215,,,Alabama A&M,alabama a&m,1105,,,,,,,,Virginia,virginia,1438
hartford,1216,,,Southeastern Louisiana,southeastern louisiana,1368,,,,,,,,Virginia Tech,virginia tech,1439
harvard,1217,,,Tennessee Martin,tennessee martin,1404,,,,,,,,VMI,vmi,1440
hawai'i,1218,,,Idaho,idaho,1225,,,,,,,,Wagner,wagner,1447
hawaii,1218,,,Houston Baptist,houston baptist,1223,,,,,,,,Wake Forest,wake forest,1448
high point,1219,,,Maine,maine,1263,,,,,,,,Washington,washington,1449
high-point,1219,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,,,,,,Washington St,washington st,1450
hofstra,1220,,,Delaware St.,delaware st.,1175,,,,,,,,Weber State,weber state,1451
holy cross,1221,,,South Carolina St.,south carolina st.,1354,,,,,,,,West Virginia,west virginia,1452
holy-cross,1221,,,Alabama St.,alabama st.,1106,,,,,,,,W Carolina,w carolina,1441
houston,1222,,,Chicago St.,chicago st.,1152,,,,,,,,W Illinois,w illinois,1442
houston bap,1223,,,Mississippi Valley St.,mississippi valley st.,1290,,,,,,,,W Kentucky,w kentucky,1443
houston baptist,1223,,,Virginia,virginia,1438,,,,,,,,W Michigan,w michigan,1444
houston-baptist,1223,,,Gonzaga,gonzaga,1211,,,,,,,,Wichita State,wichita state,1455
howard,1224,,,Duke,duke,1181,,,,,,,,William & Mary,william & mary,1456
idaho,1225,,,Michigan,michigan,1276,,,,,,,,Winthrop,winthrop,1457
idaho st,1226,,,North Carolina,north carolina,1314,,,,,,,,Wisconsin,wisconsin,1458
idaho st.,1226,,,Michigan St.,michigan st.,1277,,,,,,,,Wofford,wofford,1459
idaho state,1226,,,Texas Tech,texas tech,1403,,,,,,,,Wright State,wright state,1460
idaho-st,1226,,,Tennessee,tennessee,1397,,,,,,,,Wyoming,wyoming,1461
idaho-state,1226,,,Kentucky,kentucky,1246,,,,,,,,Xavier,xavier,1462
il chicago,1227,,,Purdue,purdue,1345,,,,,,,,Yale,yale,1463
ill-chicago,1227,,,Houston,houston,1222,,,,,,,,Youngstown St,youngstown st,1464
ill.-chicago,1227,,,Virginia Tech,virginia tech,1439,,,,,,,,,,
illinois,1228,,,Auburn,auburn,1120,,,,,,,,,,
illinois st,1229,,,Iowa St.,iowa st.,1235,,,,,,,,,,
illinois st.,1229,,,Wisconsin,wisconsin,1458,,,,,,,,,,
illinois state,1229,,,Kansas,kansas,1242,,,,,,,,,,
illinois-chicago,1227,,,LSU,lsu,1261,,,,,,,,,,
illinois-st,1229,,,Louisville,louisville,1257,,,,,,,,,,
illinois-state,1229,,,Kansas St.,kansas st.,1243,,,,,,,,,,
incarnate word,1230,,,Florida St.,florida st.,1199,,,,,,,,,,
incarnate-word,1230,,,Mississippi St.,mississippi st.,1280,,,,,,,,,,
indiana,1231,,,Florida,florida,1196,,,,,,,,,,
indiana - purdue,1237,,,Maryland,maryland,1268,,,,,,,,,,
indiana st,1232,,,VCU,vcu,1433,,,,,,,,,,
indiana st.,1232,,,Cincinnati,cincinnati,1153,,,,,,,,,,
indiana state,1232,,,Texas,texas,1400,,,,,,,,,,
indiana-st,1232,,,Buffalo,buffalo,1138,,,,,,,,,,
indiana-state,1232,,,Clemson,clemson,1155,,,,,,,,,,
iona,1233,,,UCF,ucf,1416,,,,,,,,,,
iowa,1234,,,Wofford,wofford,1459,,,,,,,,,,
iowa st,1235,,,Nevada,nevada,1305,,,,,,,,,,
iowa st.,1235,,,Oklahoma,oklahoma,1328,,,,,,,,,,
iowa state,1235,,,Saint Mary's,saint mary's,1388,,,,,,,,,,
iowa-st,1235,,,Marquette,marquette,1266,,,,,,,,,,
iowa-state,1235,,,Nebraska,nebraska,1304,,,,,,,,,,
ipfw,1236,,,Syracuse,syracuse,1393,,,,,,,,,,
iupu - ft. wayne,1236,,,Mississippi,mississippi,1279,,,,,,,,,,
iupu-fort wayne,1236,,,Villanova,villanova,1437,,,,,,,,,,
iupu-fort-wayne,1236,,,TCU,tcu,1395,,,,,,,,,,
iupui,1237,,,North Carolina St.,north carolina st.,1301,,,,,,,,,,
jackson st,1238,,,Utah St.,utah st.,1429,,,,,,,,,,
jackson st.,1238,,,Penn St.,penn st.,1336,,,,,,,,,,
jackson state,1238,,,Iowa,iowa,1234,,,,,,,,,,
jackson-st,1238,,,Ohio St.,ohio st.,1326,,,,,,,,,,
jackson-state,1238,,,Oregon,oregon,1332,,,,,,,,,,
jacksonville,1239,,,Baylor,baylor,1124,,,,,,,,,,
jacksonville st,1240,,,Washington,washington,1449,,,,,,,,,,
jacksonville st.,1240,,,Creighton,creighton,1166,,,,,,,,,,
jacksonville state,1240,,,Minnesota,minnesota,1278,,,,,,,,,,
jacksonville-st,1240,,,Indiana,indiana,1231,,,,,,,,,,
jacksonville-state,1240,,,Alabama,alabama,1104,,,,,,,,,,
james madison,1241,,,New Mexico St.,new mexico st.,1308,,,,,,,,,,
james-madison,1241,,,Lipscomb,lipscomb,1252,,,,,,,,,,
kansas,1242,,,Murray St.,murray st.,1293,,,,,,,,,,
kansas st,1243,,,Missouri,missouri,1281,,,,,,,,,,
kansas st.,1243,,,Dayton,dayton,1173,,,,,,,,,,
kansas state,1243,,,Memphis,memphis,1272,,,,,,,,,,
kansas-st,1243,,,Temple,temple,1396,,,,,,,,,,
kansas-state,1243,,,Belmont,belmont,1125,,,,,,,,,,
kennesaw,1244,,,Toledo,toledo,1405,,,,,,,,,,
kennesaw st.,1244,,,Arkansas,arkansas,1116,,,,,,,,,,
kennesaw state,1244,,,San Francisco,san francisco,1362,,,,,,,,,,
kennesaw-st,1244,,,Arizona St.,arizona st.,1113,,,,,,,,,,
kennesaw-state,1244,,,Seton Hall,seton hall,1371,,,,,,,,,,
kent,1245,,,Furman,furman,1202,,,,,,,,,,
kent st.,1245,,,South Carolina,south carolina,1376,,,,,,,,,,
kent state,1245,,,Miami FL,miami fl,1274,,,,,,,,,,
kent-st,1245,,,Butler,butler,1139,,,,,,,,,,
kent-state,1245,,,Illinois,illinois,1228,,,,,,,,,,
kentucky,1246,,,Providence,providence,1344,,,,,,,,,,
la salle,1247,,,Colorado,colorado,1160,,,,,,,,,,
la-monroe,1419,,,Wichita St.,wichita st.,1455,,,,,,,,,,
la-salle,1247,,,St. John's,st. john's,1385,,,,,,,,,,
la.-lafayette,1418,,,Vermont,vermont,1436,,,,,,,,,,
la.-monroe,1419,,,Northwestern,northwestern,1321,,,,,,,,,,
lafayette,1248,,,Xavier,xavier,1462,,,,,,,,,,
lamar,1249,,,Liberty,liberty,1251,,,,,,,,,,
lamar university,1249,,,Fresno St.,fresno st.,1201,,,,,,,,,,
lamar-university,1249,,,UC Irvine,uc irvine,1414,,,,,,,,,,
lehigh,1250,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,,,
liberty,1251,,,West Virginia,west virginia,1452,,,,,,,,,,
lipscomb,1252,,,Rutgers,rutgers,1353,,,,,,,,,,
little rock,1114,,,Yale,yale,1463,,,,,,,,,,
little-rock,1114,,,Arizona,arizona,1112,,,,,,,,,,
liu brooklyn,1254,,,South Dakota St.,south dakota st.,1355,,,,,,,,,,
liu-brooklyn,1254,,,USC,usc,1425,,,,,,,,,,
long beach st,1253,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,,,
long beach st.,1253,,,SMU,smu,1374,,,,,,,,,,
long beach state,1253,,,Texas A&M,texas a&m,1401,,,,,,,,,,
long island,1254,,,Davidson,davidson,1172,,,,,,,,,,
long island university,1254,,,Notre Dame,notre dame,1323,,,,,,,,,,
long-beach-st,1253,,,Connecticut,connecticut,1163,,,,,,,,,,
long-beach-state,1253,,,San Diego,san diego,1360,,,,,,,,,,
long-island,1254,,,UCLA,ucla,1417,,,,,,,,,,
long-island-university,1254,,,Oregon St.,oregon st.,1333,,,,,,,,,,
longbeach state,1253,,,BYU,byu,1140,,,,,,,,,,
longwood,1255,,,Northeastern,northeastern,1318,,,,,,,,,,
louisiana,1418,,,UNC Greensboro,unc greensboro,1422,,,,,,,,,,
louisiana state,1261,,,Utah,utah,1428,,,,,,,,,,
louisiana tech,1256,,,Georgetown,georgetown,1207,,,,,,,,,,
louisiana-lafayette,1418,,,Northern Kentucky,northern kentucky,1297,,,,,,,,,,
louisiana-monroe,1419,,,Penn,penn,1335,,,,,,,,,,
louisiana-state,1261,,,Hofstra,hofstra,1220,,,,,,,,,,
louisiana-tech,1256,,,Loyola Chicago,loyola chicago,1260,,,,,,,,,,
louisville,1257,,,Southern Miss,southern miss,1379,,,,,,,,,,
loy marymount,1258,,,Georgia Southern,georgia southern,1204,,,,,,,,,,
loyola (il),1260,,,South Florida,south florida,1378,,,,,,,,,,
loyola (md),1259,,,Georgia St.,georgia st.,1209,,,,,,,,,,
loyola chicago,1260,,,Pittsburgh,pittsburgh,1338,,,,,,,,,,
loyola maryland,1259,,,Saint Louis,saint louis,1387,,,,,,,,,,
loyola marymount,1258,,,Grand Canyon,grand canyon,1213,,,,,,,,,,
loyola md,1259,,,DePaul,depaul,1177,,,,,,,,,,
loyola-c,1260,,,Drake,drake,1179,,,,,,,,,,
loyola-chicago,1260,,,Akron,akron,1103,,,,,,,,,,
loyola-il,1260,,,Tulsa,tulsa,1409,,,,,,,,,,
loyola-maryland,1259,,,Wright St.,wright st.,1460,,,,,,,,,,
loyola-marymount,1258,,,Bowling Green,bowling green,1132,,,,,,,,,,
loyola-md,1259,,,Old Dominion,old dominion,1330,,,,,,,,,,
lsu,1261,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,,,
ma lowell,1262,,,Boise St.,boise st.,1129,,,,,,,,,,
maine,1263,,,San Diego St.,san diego st.,1361,,,,,,,,,,
manhattan,1264,,,Harvard,harvard,1217,,,,,,,,,,
marist,1265,,,Georgia Tech,georgia tech,1210,,,,,,,,,,
marquette,1266,,,Georgia,georgia,1208,,,,,,,,,,
marshall,1267,,,Utah Valley,utah valley,1430,,,,,,,,,,
maryland,1268,,,Austin Peay,austin peay,1122,,,,,,,,,,
maryland - e. shore,1271,,,Boston College,boston college,1130,,,,,,,,,,
maryland-baltimore county,1420,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,,,
maryland-baltimore-county,1420,,,Western Kentucky,western kentucky,1443,,,,,,,,,,
maryland-eastern shore,1271,,,Texas St.,texas st.,1402,,,,,,,,,,
maryland-eastern-shore,1271,,,College of Charleston,college of charleston,1158,,,,,,,,,,
massachusetts,1269,,,Ball St.,ball st.,1123,,,,,,,,,,
massachusetts lowell,1262,,,Rhode Island,rhode island,1348,,,,,,,,,,
massachusetts-lowell,1262,,,Montana,montana,1285,,,,,,,,,,
mcneese,1270,,,Loyola Marymount,loyola marymount,1258,,,,,,,,,,
mcneese st,1270,,,Central Michigan,central michigan,1141,,,,,,,,,,
mcneese st.,1270,,,Stanford,stanford,1390,,,,,,,,,,
mcneese state,1270,,,Radford,radford,1347,,,,,,,,,,
mcneese-state,1270,,,Kent St.,kent st.,1245,,,,,,,,,,
md baltimore co,1420,,,Louisiana Monroe,louisiana monroe,1419,,,,,,,,,,
md baltimore cty,1420,,,Colgate,colgate,1159,,,,,,,,,,
md e shore,1271,,,Samford,samford,1359,,,,,,,,,,
md. eastern shore,1271,,,Brown,brown,1135,,,,,,,,,,
memphis,1272,,,UTSA,utsa,1427,,,,,,,,,,
mercer,1273,,,Miami OH,miami oh,1275,,,,,,,,,,
merrimack,1467,,,Northern Illinois,northern illinois,1296,,,,,,,,,,
miami (fl),1274,,,Louisiana Tech,louisiana tech,1256,,,,,,,,,,
miami (fla.),1274,,,Coastal Carolina,coastal carolina,1157,,,,,,,,,,
miami (oh),1275,,,Pepperdine,pepperdine,1337,,,,,,,,,,
miami (ohio),1275,,,North Texas,north texas,1317,,,,,,,,,,
miami - florida,1274,,,Abilene Christian,abilene christian,1101,,,,,,,,,,
miami fl,1274,,,UAB,uab,1412,,,,,,,,,,
miami oh,1275,,,Vanderbilt,vanderbilt,1435,,,,,,,,,,
miami-fl,1274,,,Seattle,seattle,1370,,,,,,,,,,
miami-florida,1274,,,UT Arlington,ut arlington,1426,,,,,,,,,,
miami-oh,1275,,,Bucknell,bucknell,1137,,,,,,,,,,
miami-ohio,1275,,,Wake Forest,wake forest,1448,,,,,,,,,,
michigan,1276,,,Richmond,richmond,1350,,,,,,,,,,
michigan st,1277,,,Lehigh,lehigh,1250,,,,,,,,,,
michigan st.,1277,,,Florida Atlantic,florida atlantic,1194,,,,,,,,,,
michigan state,1277,,,Duquesne,duquesne,1182,,,,,,,,,,
michigan-st,1277,,,George Mason,george mason,1206,,,,,,,,,,
michigan-state,1277,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,,,
middle tenn st,1292,,,Saint Joseph's,saint joseph's,1386,,,,,,,,,,
middle tenn st.,1292,,,UNLV,unlv,1424,,,,,,,,,,
middle tenn.,1292,,,Southern Illinois,southern illinois,1356,,,,,,,,,,
middle tennessee,1292,,,Sam Houston St.,sam houston st.,1358,,,,,,,,,,
middle tennessee st.,1292,,,Princeton,princeton,1343,,,,,,,,,,
middle tennessee state,1292,,,Eastern Michigan,eastern michigan,1185,,,,,,,,,,
middle-tenn,1292,,,Northern Colorado,northern colorado,1294,,,,,,,,,,
middle-tennessee,1292,,,Fort Wayne,fort wayne,1236,,,,,,,,,,
middle-tennessee-state,1292,,,North Florida,north florida,1316,,,,,,,,,,
milwaukee,1454,,,Marshall,marshall,1267,,,,,,,,,,
minnesota,1278,,,Oakland,oakland,1324,,,,,,,,,,
miss valley st.,1290,,,Bradley,bradley,1133,,,,,,,,,,
mississippi,1279,,,Missouri St.,missouri st.,1283,,,,,,,,,,
mississippi st,1280,,,Nebraska Omaha,nebraska omaha,1303,,,,,,,,,,
mississippi st.,1280,,,Illinois Chicago,illinois chicago,1227,,,,,,,,,,
mississippi state,1280,,,Northern Iowa,northern iowa,1320,,,,,,,,,,
mississippi val.,1290,,,American,american,1110,,,,,,,,,,
mississippi valley state,1290,,,Winthrop,winthrop,1457,,,,,,,,,,
mississippi-st,1280,,,Gardner Webb,gardner webb,1205,,,,,,,,,,
mississippi-state,1280,,,Colorado St.,colorado st.,1161,,,,,,,,,,
mississippi-val,1290,,,Charleston Southern,charleston southern,1149,,,,,,,,,,
mississippi-valley-state,1290,,,Stony Brook,stony brook,1392,,,,,,,,,,
missouri,1281,,,Ohio,ohio,1325,,,,,,,,,,
missouri kc,1282,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,,,
missouri st,1283,,,New Mexico,new mexico,1307,,,,,,,,,,
missouri st.,1283,,,IUPUI,iupui,1237,,,,,,,,,,
missouri state,1283,,,Cal Baptist,cal baptist,1465,,,,,,,,,,
missouri-kansas city,1282,,,Presbyterian,presbyterian,1342,,,,,,,,,,
missouri-kansas-city,1282,,,Mercer,mercer,1273,,,,,,,,,,
missouri-st,1283,,,Santa Clara,santa clara,1365,,,,,,,,,,
missouri-state,1283,,,Campbell,campbell,1144,,,,,,,,,,
mo kansas city,1282,,,Appalachian St.,appalachian st.,1111,,,,,,,,,,
monmouth,1284,,,NJIT,njit,1312,,,,,,,,,,
monmouth nj,1284,,,UT Rio Grande Valley,ut rio grande valley,1410,,,,,,,,,,
monmouth-nj,1284,,,North Dakota St.,north dakota st.,1295,,,,,,,,,,
montana,1285,,,Indiana St.,indiana st.,1232,,,,,,,,,,
montana st,1286,,,Dartmouth,dartmouth,1171,,,,,,,,,,
montana st.,1286,,,Hampton,hampton,1214,,,,,,,,,,
montana state,1286,,,Hawaii,hawaii,1218,,,,,,,,,,
montana-st,1286,,,Illinois St.,illinois st.,1229,,,,,,,,,,
montana-state,1286,,,La Salle,la salle,1247,,,,,,,,,,
morehead st,1287,,,Green Bay,green bay,1453,,,,,,,,,,
morehead st.,1287,,,Washington St.,washington st.,1450,,,,,,,,,,
morehead state,1287,,,Rider,rider,1351,,,,,,,,,,
morehead-st,1287,,,Hartford,hartford,1216,,,,,,,,,,
morehead-state,1287,,,FIU,fiu,1198,,,,,,,,,,
morgan st,1288,,,Pacific,pacific,1334,,,,,,,,,,
morgan st.,1288,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,,,
morgan state,1288,,,Prairie View A&M,prairie view a&m,1341,,,,,,,,,,
morgan-st,1288,,,Columbia,columbia,1162,,,,,,,,,,
morgan-state,1288,,,South Alabama,south alabama,1375,,,,,,,,,,
morris brown,1289,,,Valparaiso,valparaiso,1434,,,,,,,,,,
morris-brown,1289,,,Massachusetts,massachusetts,1269,,,,,,,,,,
Mount Saint Mary`s,1291,,,Weber St.,weber st.,1451,,,,,,,,,,
mount st. mary's,1291,,,Lamar,lamar,1249,,,,,,,,,,
mount st. marys,1291,,,South Dakota,south dakota,1377,,,,,,,,,,
mount-st-marys,1291,,,Iona,iona,1233,,,,,,,,,,
ms valley st,1290,,,High Point,high point,1219,,,,,,,,,,
ms valley state,1290,,,California,california,1143,,,,,,,,,,
mt st mary's,1291,,,William & Mary,william & mary,1456,,,,,,,,,,
mt st. mary's,1291,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,,,,,,,,
mt-st-marys,1291,,,Cornell,cornell,1165,,,,,,,,,,
mt. st. mary's,1291,,,Long Beach St.,long beach st.,1253,,,,,,,,,,
mt. st. mary`s,1291,,,Fairleigh Dickinson,fairleigh dickinson,1192,,,,,,,,,,
mtsu,1292,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,,,
murray st,1293,,,Detroit,detroit,1178,,,,,,,,,,
murray st.,1293,,,Little Rock,little rock,1114,,,,,,,,,,
murray state,1293,,,Boston University,boston university,1131,,,,,,,,,,
murray-st,1293,,,Holy Cross,holy cross,1221,,,,,,,,,,
murray-state,1293,,,Marist,marist,1265,,,,,,,,,,
mvsu(miss. valley st,1290,,,Eastern Kentucky,eastern kentucky,1184,,,,,,,,,,
n colorado,1294,,,Troy,troy,1407,,,,,,,,,,
n dakota st,1295,,,Fordham,fordham,1200,,,,,,,,,,
n illinois,1296,,,Air Force,air force,1102,,,,,,,,,,
n kentucky,1297,,,Western Michigan,western michigan,1444,,,,,,,,,,
n. carolina a&t,1299,,,East Carolina,east carolina,1187,,,,,,,,,,
n.c. a&t,1299,,,Evansville,evansville,1191,,,,,,,,,,
n.c. asheville,1421,,,Arkansas St.,arkansas st.,1117,,,,,,,,,,
n.c. central,1300,,,Chattanooga,chattanooga,1151,,,,,,,,,,
n.c. state,1301,,,Army,army,1119,,,,,,,,,,
n.j.i.t.,1312,,,UMBC,umbc,1420,,,,,,,,,,
navy,1298,,,Siena,siena,1373,,,,,,,,,,
nc a&t,1299,,,Texas Southern,texas southern,1411,,,,,,,,,,
nc asheville,1421,,,Quinnipiac,quinnipiac,1346,,,,,,,,,,
nc central,1300,,,The Citadel,the citadel,1154,,,,,,,,,,
nc charlotte,1150,,,Youngstown St.,youngstown st.,1464,,,,,,,,,,
nc greensboro,1422,,,Middle Tennessee,middle tennessee,1292,,,,,,,,,,
nc state,1301,,,UMKC,umkc,1282,,,,,,,,,,
nc wilmington,1423,,,Rice,rice,1349,,,,,,,,,,
nc-at,1299,,,Eastern Washington,eastern washington,1186,,,,,,,,,,
nc-central,1300,,,St. Francis PA,st. francis pa,1384,,,,,,,,,,
nc-greensboro,1422,,,North Dakota,north dakota,1315,,,,,,,,,,
nc-state,1301,,,Southeastern Louisiana,southeastern louisiana,1368,,,,,,,,,,
nc-wilmington,1423,,,UC Davis,uc davis,1413,,,,,,,,,,
ne illinois,1302,,,Delaware,delaware,1174,,,,,,,,,,
ne omaha,1303,,,Morehead St.,morehead st.,1287,,,,,,,,,,
nebraska,1304,,,Cal St. Northridge,cal st. northridge,1169,,,,,,,,,,
nebraska omaha,1303,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,,,
nebraska-omaha,1303,,,Sacred Heart,sacred heart,1357,,,,,,,,,,
nevada,1305,,,UNC Wilmington,unc wilmington,1423,,,,,,,,,,
nevada-las vegas,1424,,,Tulane,tulane,1408,,,,,,,,,,
nevada-las-vegas,1424,,,Milwaukee,milwaukee,1454,,,,,,,,,,
new hampshire,1306,,,Oral Roberts,oral roberts,1331,,,,,,,,,,
new jersey tech,1312,,,St. Francis NY,st. francis ny,1383,,,,,,,,,,
new mexico,1307,,,Canisius,canisius,1145,,,,,,,,,,
new mexico st,1308,,,Drexel,drexel,1180,,,,,,,,,,
new mexico st.,1308,,,Fairfield,fairfield,1193,,,,,,,,,,
new mexico state,1308,,,George Washington,george washington,1203,,,,,,,,,,
new orleans,1309,,,Robert Morris,robert morris,1352,,,,,,,,,,
new-hampshire,1306,,,Loyola MD,loyola md,1259,,,,,,,,,,
new-jersey-tech,1312,,,Southern Utah,southern utah,1381,,,,,,,,,,
new-mexico,1307,,,Navy,navy,1298,,,,,,,,,,
new-mexico-st,1308,,,Cleveland St.,cleveland st.,1156,,,,,,,,,,
new-mexico-state,1308,,,Albany,albany,1107,,,,,,,,,,
new-orleans,1309,,,Norfolk St.,norfolk st.,1313,,,,,,,,,,
neworleans,1309,,,Houston Baptist,houston baptist,1223,,,,,,,,,,
niagara,1310,,,New Orleans,new orleans,1309,,,,,,,,,,
nicholls,1311,,,Jacksonville,jacksonville,1239,,,,,,,,,,
nicholls st,1311,,,Montana St.,montana st.,1286,,,,,,,,,,
nicholls st.,1311,,,Grambling St.,grambling st.,1212,,,,,,,,,,
nicholls state,1311,,,Sacramento St.,sacramento st.,1170,,,,,,,,,,
nicholls-st,1311,,,Western Carolina,western carolina,1441,,,,,,,,,,
nicholls-state,1311,,,Western Illinois,western illinois,1442,,,,,,,,,,
njit,1312,,,Tennessee Martin,tennessee martin,1404,,,,,,,,,,
no.carolina a&t,1299,,,James Madison,james madison,1241,,,,,,,,,,
norfolk st,1313,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,,,,,,,,
norfolk st.,1313,,,Longwood,longwood,1255,,,,,,,,,,
norfolk state,1313,,,UMass Lowell,umass lowell,1262,,,,,,,,,,
norfolk-st,1313,,,Monmouth,monmouth,1284,,,,,,,,,,
norfolk-state,1313,,,Towson,towson,1406,,,,,,,,,,
north ala.,1466,,,Portland St.,portland st.,1340,,,,,,,,,,
north alabama,1466,,,North Carolina Central,north carolina central,1300,,,,,,,,,,
north carolina,1314,,,UTEP,utep,1431,,,,,,,,,,
north carolina a&t,1299,,,Eastern Illinois,eastern illinois,1183,,,,,,,,,,
north carolina central,1300,,,VMI,vmi,1440,,,,,,,,,,
north carolina st.,1301,,,Central Arkansas,central arkansas,1146,,,,,,,,,,
north carolina state,1301,,,North Carolina A&T,north carolina a&t,1299,,,,,,,,,,
north carolina-asheville,1421,,,Elon,elon,1189,,,,,,,,,,
north carolina-greensboro,1422,,,Tennessee St.,tennessee st.,1398,,,,,,,,,,
north carolina-wilmington,1423,,,Lafayette,lafayette,1248,,,,,,,,,,
north dakota,1315,,,Bethune Cookman,bethune cookman,1126,,,,,,,,,,
north dakota st.,1295,,,North Alabama,north alabama,1466,,,,,,,,,,
north dakota state,1295,,,Northern Arizona,northern arizona,1319,,,,,,,,,,
north florida,1316,,,Idaho St.,idaho st.,1226,,,,,,,,,,
north texas,1317,,,Niagara,niagara,1310,,,,,,,,,,
north-carolina,1314,,,Howard,howard,1224,,,,,,,,,,
north-carolina-asheville,1421,,,Nicholls St.,nicholls st.,1311,,,,,,,,,,
north-carolina-at,1299,,,Denver,denver,1176,,,,,,,,,,
north-carolina-central,1300,,,Wagner,wagner,1447,,,,,,,,,,
north-carolina-charlotte,1150,,,Charlotte,charlotte,1150,,,,,,,,,,
north-carolina-greensboro,1422,,,Wyoming,wyoming,1461,,,,,,,,,,
north-carolina-st,1301,,,Saint Peter's,saint peter's,1389,,,,,,,,,,
north-carolina-state,1301,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,,,
